source;target;value;diagram;secondary
Status;Comments;159;;false
Status;Share;306;;false
Status;Interactions;710;;false
Photo;Comments;190;;false
Photo;Share;672;;false
Photo;Interactions;1367;;false
Video;Comments;63;;false
Video;Share;239;;false
Video;Interactions;455;;false
Links;Comments;95;;false
Links;Share;187;;false
Links;Interactions;412;;false
Interactions;likes;2096;;false
Interactions;Love;431;;false
Interactions;Haha;266;;false
Interactions;Wow;50;;false
Interactions;Triste;87;;false
Interactions;Colere;58;;false
Interactions;Solid;4;;false
Interactions;likes;1008;Photos;true
Interactions;Love;180;Photos;true
Interactions;Haha;140;Photos;true
Interactions;Wow;12;Photos;true
Interactions;Triste;16;Photos;true
Interactions;Colere;6;Photos;true
Interactions;Solid;2;Photos;true
Interactions;likes;310;Video;true
Interactions;Love;65;Video;true
Interactions;Haha;24;Video;true
Interactions;Wow;13;Video;true
Interactions;Triste;19;Video;true
Interactions;Colere;21;Video;true
Interactions;Solid;0;Video;true
Interactions;likes;442;Status;true
Interactions;Love;146;Status;true
Interactions;Haha;80;Status;true
Interactions;Wow;7;Status;true
Interactions;Triste;25;Status;true
Interactions;Colere;5;Status;true
Interactions;Solid;2;Status;true
Interactions;likes;276;Links;true
Interactions;Love;40;Links;true
Interactions;Haha;22;Links;true
Interactions;Wow;18;Links;true
Interactions;Triste;27;Links;true
Interactions;Colere;26;Links;true
Interactions;Solid;0;Links;true